,0,1,2,3,4,5,6,7,8
515,Evergy Metro Inc,—,"24-Feb-2017, 07:26",23-Feb-2017,31-Dec-2016,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended December 31, 2016",US,Electric Utilities (NEC),17633465
516,Nextera Energy Partners LP,NEP.N,"24-Feb-2017, 06:08",23-Feb-2017,31-Dec-2016,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended December 31, 2016",US,Electric Utilities (NEC),17632429
517,Florida Power & Light Co,ELB.N^L03,"24-Feb-2017, 06:04",23-Feb-2017,31-Dec-2016,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended December 31, 2016",US,Electric Utilities (NEC),17632371
518,Connecticut Light and Power Co,CNLPL.PK,"23-Feb-2017, 22:48",23-Feb-2017,31-Dec-2016,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the Fiscal Year Ended December 31, 2016",US,Electric Utilities (NEC),17630365
519,OGE Energy Corp,OGE.N,"23-Feb-2017, 22:46",23-Feb-2017,31-Dec-2016,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OFTHE SECURITIES EXCHANGE ACT OF 1934For the fiscal year endedDecember 31, 2016",US,Electric Utilities (NEC),17629800
520,,IDA.N,,,,,,,
521,,WREGH.PK^F02,,,,,,,
522,Cleco Corporate Holdings LLC,CNL.N^D16,"23-Feb-2017, 06:37",22-Feb-2017,31-Dec-2016,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended December 31, 2016",US,Electric Utilities (NEC),17628843
523,Otter Tail Corp,OTTR.OQ,"23-Feb-2017, 02:02",22-Feb-2017,31-Dec-2016,"AnnualReport pursuant to Section 13 or 15(d) of the Securities Exchange Act of 1934For the fiscal year endedDecember 31, 2016",US,Electric Utilities (NEC),17627566
524,Alabama Power Co,ALP_pq.N^J22,"22-Feb-2017, 20:11",22-Feb-2017,31-Dec-2016,—,US,Electric Utilities (NEC),17626918
525,FirstEnergy Corp,FE.N,"22-Feb-2017, 07:19",21-Feb-2017,31-Dec-2016,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the FISCAL YEAR ended December 31, 2016",US,Electric Utilities (NEC),17625936
526,Edison International,EIX.N,"22-Feb-2017, 06:12",21-Feb-2017,31-Dec-2016,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended December 31, 2016",US,Electric Utilities (NEC),17625091
527,Kentucky Utilities Co,KUTLP.PK^J05,"18-Feb-2017, 01:49",17-Feb-2017,31-Dec-2016,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 for the fiscal year ended December 31, 2016",US,Electric Utilities (NEC),17620357
528,Portland General Electric Co,POR.N,"17-Feb-2017, 20:03",17-Feb-2017,31-Dec-2016,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended December 31, 2016",US,Electric Utilities (NEC),17619275
529,Consolidated Edison Company of New York Inc,CEDNM.PK^E12,"17-Feb-2017, 06:54",16-Feb-2017,31-Dec-2016,"Annual Report Pursuant To Section 13 or 15(d) of the Securities Exchange Act of 1934 FOR THE FISCAL YEAR ENDED DECEMBER 31, 2016",US,Multiline Utilities,17618515
530,PG&E Corp,PCG.N,"17-Feb-2017, 06:06",16-Feb-2017,31-Dec-2016,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the Fis cal Year Ended December 31, 2016",US,Electric Utilities (NEC),17617845
531,ITC Holdings Corp,ITC.N^J16,"16-Feb-2017, 23:12",16-Feb-2017,31-Dec-2016,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended December 31, 2016",US,Electric Utilities (NEC),17616584
532,Tucson Electric Power Co,—,"16-Feb-2017, 22:17",16-Feb-2017,31-Dec-2016,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended December 31, 2016",US,Electric Utilities (NEC),17616498
533,ALLETE Inc,ALE.N,"15-Feb-2017, 21:13",15-Feb-2017,31-Dec-2016,"Annual Report Pursuant to Section 13 or 15(d) of the Securities Exchange Act of 1934 For the fiscal year ended December 31, 2016",US,Electric Utilities (NEC),17612837
534,Atlantic City Electric Co,ANTEM.PK^C11,"14-Feb-2017, 01:40",13-Feb-2017,31-Dec-2016,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934For theFiscal Year Ended December 31, 2016",US,Electric Utilities (NEC),17596878
535,Tampa Electric Co,TAECM.PK^L04,"13-Feb-2017, 20:20",13-Feb-2017,31-Dec-2016,"Annual Report Pursuant to Section 13 or 15(d) of the Securities Exchange Act of 1934 For the fiscal year ended December 31, 2016",US,Electric Utilities (NEC),17595194
536,Calpine Corp,CPN.N^C18,"10-Feb-2017, 20:05",10-Feb-2017,31-Dec-2016,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended December 31, 2016",US,Electric Utilities (NEC),17589245
537,DTE Electric Co,—,"10-Feb-2017, 04:10",09-Feb-2017,31-Dec-2016,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the Fiscal Year Ended December 31, 2016",US,Electric Utilities (NEC),17586894
538,CMS Energy Corp,CMS.N,"08-Feb-2017, 00:17",07-Feb-2017,31-Dec-2016,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended December 31, 2016",US,Multiline Utilities,17577483
539,Tennessee Valley Authority,TVC.N,"15-Nov-2016, 20:28",15-Nov-2016,30-Sep-2016,"ANNUAL REPORT PURSUANT TO SECTION 13, 15(d), OR 37 OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended September 30, 2016",US,Electric Utilities (NEC),161996863
540,Principal Solar Inc,PSWW.PK,"15-Apr-2016, 01:22",14-Apr-2016,31-Dec-2015,—,US,Electric Utilities (NEC),161571025
541,Avangrid Inc,AGR.N,"02-Apr-2016, 04:31",01-Apr-2016,31-Dec-2015,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended December 31, 2015",US,Electric Utilities (NEC),161546781
542,EuroSite Power Inc,EUSP.PK,"31-Mar-2016, 07:06",30-Mar-2016,31-Dec-2015,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended December 31, 2015",US,Electric Utilities (NEC),161540600
543,CenterPoint Energy Transition Bond IV Co LLC,—,"31-Mar-2016, 06:58",30-Mar-2016,31-Dec-2015,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended December 31, 2015",US,Electric Utilities (NEC),161540814
544,CenterPoint Energy Transition Bond II Co LLC,—,"31-Mar-2016, 06:55",30-Mar-2016,31-Dec-2015,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended December 31, 2015",US,Corporate Financial Services (NEC),161540774
545,AEP Texas Central Transition Funding II LLC,—,"31-Mar-2016, 05:34",30-Mar-2016,31-Dec-2015,—,US,Electric Utilities (NEC),161539977
546,Summer Energy Holdings Inc,SUME.PK,"31-Mar-2016, 01:54",30-Mar-2016,31-Dec-2015,—,US,Electric Utilities (NEC),161538188
547,Entergy Gulf States Reconstruction Funding I LLC,—,"30-Mar-2016, 06:13",29-Mar-2016,31-Dec-2015,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended December 31, 2015",US,Electric Utilities (NEC),161536046
548,Entergy Texas Restoration Funding LLC,—,"30-Mar-2016, 06:10",29-Mar-2016,31-Dec-2015,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended December 31, 2015",US,Electric Utilities (NEC),161536013
549,Entergy New Orleans Storm Recovery Funding I LLC,—,"30-Mar-2016, 06:06",29-Mar-2016,31-Dec-2015,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended December 31, 2015",US,Electric Utilities (NEC),161535963
550,Cei Funding LLC,—,"30-Mar-2016, 04:11",29-Mar-2016,31-Dec-2015,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended December 31, 2015",US,—,161535200
551,Oglethorpe Power Corp,—,"29-Mar-2016, 19:06",29-Mar-2016,31-Dec-2015,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended December 31, 2015",US,Electric Utilities (NEC),161533326
552,Chugach Electric Association Inc,—,"25-Mar-2016, 02:12",24-Mar-2016,31-Dec-2015,"AL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended December 31, 2015",US,Electric Utilities (NEC),161526455
553,Via Renewables Inc,VIA.OQ,"25-Mar-2016, 00:10",24-Mar-2016,31-Dec-2015,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended December 31, 2015",US,Electric Utilities (NEC),161526097
554,Windstream Bv Holdings LLC,BVWN.PK^G17,"16-Mar-2016, 04:21",15-Mar-2016,31-Dec-2015,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For The Fiscal Year Ended December 31, 2015",US,Electric Utilities (NEC),161506691
555,Orbital Infrastructure Group Inc,OIGBQ.PK,"15-Mar-2016, 22:12",14-Mar-2016,31-Dec-2015,"ANNUAL REPORT UNDER SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended December 31, 2015",US,Electric Utilities (NEC),161504745
556,Tri-State Generation and Transmission Association Inc,—,"15-Mar-2016, 01:36",14-Mar-2016,31-Dec-2015,"AL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal period ended December 31, 2015",US,Electric Utilities (NEC),161503049
557,Pineapple Energy Inc,PEGY.OQ,"12-Mar-2016, 07:21",11-Mar-2016,31-Dec-2015,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended December 31, 2015",US,Electric Utilities (NEC),161501772
558,US Geothermal Inc,HTM.A^D18,"11-Mar-2016, 06:53",10-Mar-2016,31-Dec-2015,—,US,Electric Utilities (NEC),161498371
559,Consumers 2014 Securitization Funding LLC,—,"11-Mar-2016, 06:02",10-Mar-2016,31-Dec-2015,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended December 31, 2015",US,—,161497739
560,Greenbacker Renewable Energy Company LLC,—,"11-Mar-2016, 05:14",10-Mar-2016,31-Dec-2015,"ANNUALREPORT PURSUANT TO SECTION 13 OR 15(D)OF THE SECURITIES EXCHANGE ACT OF 1934 For thefiscal year ended December31, 2015",US,Electric Utilities (NEC),161497502
561,Atlantic Power Corp,AT.N^E21,"08-Mar-2016, 07:11",07-Mar-2016,31-Dec-2015,"AL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended December 31, 2015",CA,Electric Utilities (NEC),161489245
562,Energy Future Competitive Holdings Company LLC,TXHCO.PK^J05,"01-Mar-2016, 20:34",01-Mar-2016,31-Dec-2015,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 FOR THE FISCAL YEAR ENDED DECEMBER 31, 2015",US,Electric Utilities (NEC),161470750
563,Sempra Texas Intermediate Holding Company LLC,—,"01-Mar-2016, 20:25",01-Mar-2016,31-Dec-2015,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 FOR THE FISCAL YEAR ENDED DECEMBER 31, 2015",US,Electric Utilities (NEC),161470752
564,Sempra Texas Holdings Corp,—,"01-Mar-2016, 20:13",01-Mar-2016,31-Dec-2015,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 FOR THE FISCAL YEAR ENDED DECEMBER 31, 2015",US,Electric Utilities (NEC),161470784
565,Clearway Energy LLC,—,"01-Mar-2016, 03:56",29-Feb-2016,31-Dec-2015,—,US,Electric Utilities (NEC),161466438
566,NRG Energy Inc,NRG.N,"01-Mar-2016, 03:55",29-Feb-2016,31-Dec-2015,—,US,Electric Utilities (NEC),161466429
567,Otter Tail Corp,OTTR.OQ,"01-Mar-2016, 02:10",29-Feb-2016,31-Dec-2015,"Annual Report pursuant to Section 13 or 15(d) of the Securities Exchange Act of 1934 For the fiscal year ended December 31, 2015",US,Electric Utilities (NEC),161465835
568,El Paso Electric Co,EE.N^G20,"29-Feb-2016, 21:16",29-Feb-2016,31-Dec-2015,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended December 31, 2015",US,Electric Utilities (NEC),161464747
569,Talen Energy Corp,TLN^L16,"29-Feb-2016, 21:12",29-Feb-2016,31-Dec-2015,—,US,Independent Power Producers (NEC),161464512
570,PNM Resources Inc,PNM.N,"29-Feb-2016, 20:26",29-Feb-2016,31-Dec-2015,—,US,Electric Utilities (NEC),161463948
571,Berkshire Hathaway Energy Co,—,"29-Feb-2016, 20:25",29-Feb-2016,31-Dec-2015,—,US,Electric Utilities (NEC),161463908
572,Puget Energy Inc,PSD.N^B09,"29-Feb-2016, 20:23",29-Feb-2016,31-Dec-2015,—,US,Electric Utilities (NEC),161464318
573,Black Hills Power Inc,—,"29-Feb-2016, 20:05",29-Feb-2016,31-Dec-2015,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended December 31, 2015",US,Electric Utilities (NEC),161464038
574,OGE Energy Corp,OGE.N,"17-Dec-2016, 06:55",26-Feb-2016,31-Dec-2015,—,US,Electric Utilities (NEC),161458029
575,Ameren Corp,AEE.N,"27-Feb-2016, 08:38",26-Feb-2016,31-Dec-2015,"Annual report pursuant to Section 13 or 15(d) of the Securities Exchange Act of 1934 for the fiscal year ended December 31, 2015",US,Multiline Utilities,161463825
576,Connecticut Light and Power Co,CNLPL.PK,"27-Feb-2016, 08:15",26-Feb-2016,31-Dec-2015,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the Fiscal Year Ended December 31, 2015",US,Electric Utilities (NEC),161463500
577,Cleco Corporate Holdings LLC,CNL.N^D16,"27-Feb-2016, 06:47",26-Feb-2016,31-Dec-2015,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended December 31, 2015",US,Electric Utilities (NEC),161462210
578,Alabama Power Co,ALP_pq.N^J22,"27-Feb-2016, 06:13",26-Feb-2016,31-Dec-2015,—,US,Electric Utilities (NEC),161461307
579,Wisconsin Public Service Corp,WIPSI.PK^K15,"27-Feb-2016, 05:32",26-Feb-2016,31-Dec-2015,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended December 31, 2015",US,Electric Utilities (NEC),161461080
580,,CNLPL.PK,,,,,,,
581,Cleco Corporate Holdings LLC,CNL.N^D16,"27-Feb-2016, 06:47",26-Feb-2016,31-Dec-2015,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended December 31, 2015",US,Electric Utilities (NEC),161462210
582,Alabama Power Co,ALP_pq.N^J22,"27-Feb-2016, 06:13",26-Feb-2016,31-Dec-2015,—,US,Electric Utilities (NEC),161461307
583,Wisconsin Public Service Corp,WIPSI.PK^K15,"27-Feb-2016, 05:32",26-Feb-2016,31-Dec-2015,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended December 31, 2015",US,Electric Utilities (NEC),161461080
584,Wisconsin Electric Power Co,WELPP.PK,"27-Feb-2016, 05:31",26-Feb-2016,31-Dec-2015,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended December 31, 2015",US,Electric Utilities (NEC),161461037
585,WEC Energy Group Inc,WEC.N,"27-Feb-2016, 05:23",26-Feb-2016,31-Dec-2015,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended December 31, 2015",US,Electric Utilities (NEC),161461005
586,TECO Energy Inc,TE.N^G16,"27-Feb-2016, 03:57",26-Feb-2016,31-Dec-2015,"Annual Report Pursuant to Section 13 or 15(d) of the Securities Exchange Act of 1934 For the fiscal year ended December 31, 2015",US,Electric Utilities (NEC),161460291
587,San Diego Gas & Electric Co,SDO_ph.A^J13,"27-Feb-2016, 03:50",26-Feb-2016,31-Dec-2015,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended December 31, 2015",US,Electric Utilities (NEC),161460233
588,Dominion Energy South Carolina Inc,SCG_p.N^L09,"27-Feb-2016, 03:14",26-Feb-2016,31-Dec-2015,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the Fiscal Year Ended December 31, 2015",US,Electric Utilities (NEC),161460072
589,Dominion Energy Inc,D.N,"27-Feb-2016, 03:01",26-Feb-2016,31-Dec-2015,—,US,Electric Utilities (NEC),161459976
590,OGE Energy Corp,OGE.N,"26-Feb-2016, 22:35",26-Feb-2016,31-Dec-2015,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended December 31, 2015",US,Electric Utilities (NEC),161458029
591,Empire District Electric Co,EDE.N^A17,"26-Feb-2016, 21:08",26-Feb-2016,31-Dec-2015,"Annual report pursuant to Section 13 or 15(d) of the Securities Exchange Act of 1934 For the fiscal year ended December 31, 2015",US,Electric Utilities (NEC),161457919
592,Centerpoint Energy Houston Electric LLC,HSLPP.PK^H09,"26-Feb-2016, 20:48",26-Feb-2016,31-Dec-2015,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 FOR THE FISCAL YEAR ENDED DECEMBER 31, 2015",US,Electric Utilities (NEC),161457883
593,Oncor Electric Delivery Transition Bond Company LLC,—,"26-Feb-2016, 20:38",26-Feb-2016,31-Dec-2015,"AL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the Fiscal Year Ended December 31, 2015",US,Electric Utilities (NEC),161457547
594,Oncor Electric Delivery Company LLC,—,"26-Feb-2016, 20:33",26-Feb-2016,31-Dec-2015,"AL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the Fiscal Year Ended December 31, 2015",US,Electric Utilities (NEC),161457516
595,Entergy Arkansas LLC,EAI.N,"26-Feb-2016, 20:25",26-Feb-2016,31-Dec-2015,ENTERGY CORP /DE/ 10-K,US,Electric Utilities (NEC),161457573
596,Duke Energy Carolinas LLC,—,"26-Feb-2016, 07:21",25-Feb-2016,31-Dec-2015,—,US,Electric Utilities (NEC),161456804
597,MGE Energy Inc,MGEE.OQ,"26-Feb-2016, 05:22",25-Feb-2016,31-Dec-2015,"Annual Report Pursuant to Section 13 or 15(d) of the Securities Exchange Act of 1934 For the fiscal year ended: December 31, 2015",US,Electric Utilities (NEC),161455589
598,ITC Holdings Corp,ITC.N^J16,"26-Feb-2016, 04:01",25-Feb-2016,31-Dec-2015,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended December 31, 2015",US,Electric Utilities (NEC),161455014
599,American Electric Power Company Inc,AEP.OQ,"10-Mar-2016, 19:24",24-Feb-2016,31-Dec-2015,—,US,Electric Utilities (NEC),161449823
600,Alliant Energy Corp,LNT.OQ,"25-Feb-2016, 05:51",24-Feb-2016,31-Dec-2015,FORM OF ALLIANT ENERGY CORPORATION PERFORMANCE SHARE AGREEMENT THIS PERFORMANCE SHARE AGREEMENT,US,Electric Utilities (NEC),161451817
601,AES Corp,AES.N,"24-Feb-2016, 20:13",24-Feb-2016,31-Dec-2015,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the Fiscal Year Ended December 31, 2015",US,Electric Utilities (NEC),161449925
602,DPL Inc,DPL.N^K11,"24-Feb-2016, 20:12",24-Feb-2016,31-Dec-2015,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended December 31, 2015",US,Electric Utilities (NEC),161449958
603,Ipalco Enterprises Inc,IPL.N^C01,"24-Feb-2016, 20:11",24-Feb-2016,31-Dec-2015,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended December 31, 2015",US,Electric Utilities (NEC),161449960
604,Hawaiian Electric Company Inc,HAWLI.PK,"24-Feb-2016, 07:13",23-Feb-2016,31-Dec-2015,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended December 31, 2015",US,Electric Utilities (NEC),161449144
605,Edison International,EIX.N,"24-Feb-2016, 06:11",23-Feb-2016,31-Dec-2015,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended December 31, 2015",US,Electric Utilities (NEC),161448367
606,ALLETE Inc,ALE.N,"23-Feb-2016, 07:28",22-Feb-2016,31-Dec-2015,"Annual Report Pursuant to Section 13 or 15(d) of the Securities Exchange Act of 1934 For the fiscal year ended December 31, 2015",US,Electric Utilities (NEC),161445842
607,Public Service Company of Colorado,—,"23-Feb-2016, 05:20",22-Feb-2016,31-Dec-2015,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended December 31, 2015",US,Electric Utilities (NEC),161444809
608,Southwestern Public Service Co,SPS.N^H97,"23-Feb-2016, 05:19",22-Feb-2016,31-Dec-2015,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended December 31, 2015",US,Electric Utilities (NEC),161444808
609,Northern States Power Co,—,"23-Feb-2016, 05:16",22-Feb-2016,31-Dec-2015,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended December 31, 2015",US,Electric Utilities (NEC),161444794
610,Northern States Power Co (Wisconsin),—,"23-Feb-2016, 05:16",22-Feb-2016,31-Dec-2015,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended December 31, 2015",US,Electric Utilities (NEC),161444798
611,Florida Power & Light Co,ELB.N^L03,"22-Feb-2016, 20:04",22-Feb-2016,31-Dec-2015,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended December 31, 2015",US,Electric Utilities (NEC),161442963
612,Nextera Energy Partners LP,NEP.N,"20-Feb-2016, 07:35",19-Feb-2016,31-Dec-2015,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended December 31, 2015",US,Electric Utilities (NEC),161442942
613,Kentucky Utilities Co,KUTLP.PK^J05,"20-Feb-2016, 07:27",19-Feb-2016,31-Dec-2015,—,US,Electric Utilities (NEC),161442785
614,Xcel Energy Inc,XEL.OQ,"20-Feb-2016, 05:23",19-Feb-2016,31-Dec-2015,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended December 31, 2015",US,Electric Utilities (NEC),161441616
615,Arizona Public Service Co,AZD.N^A00,"19-Feb-2016, 22:40",19-Feb-2016,31-Dec-2015,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended December 31, 2015",US,Electric Utilities (NEC),161440277
616,Atlantic City Electric Co,ANTEM.PK^C11,"19-Feb-2016, 20:07",19-Feb-2016,31-Dec-2015,—,US,Electric Utilities (NEC),161439234
617,Consolidated Edison Company of New York Inc,CEDNM.PK^E12,"19-Feb-2016, 06:59",18-Feb-2016,31-Dec-2015,"Annual Report Pursuant To Section 13 or 15(d) of the Securities Exchange Act of 1934 FOR THE FISCAL YEAR ENDED DECEMBER 31, 2015",US,Multiline Utilities,161438649
618,PG&E Corp,PCG.N,"19-Feb-2016, 05:33",18-Feb-2016,31-Dec-2015,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the Fiscal Year Ended December 31, 2015",US,Electric Utilities (NEC),161437335
619,Tucson Electric Power Co,—,"19-Feb-2016, 03:14",18-Feb-2016,31-Dec-2015,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended December 31, 2015",US,Electric Utilities (NEC),161436866
620,Idacorp Inc,IDA.N,"18-Feb-2016, 22:36",18-Feb-2016,31-Dec-2015,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the fiscal year ended December 31, 2015",US,Electric Utilities (NEC),161436050
621,FirstEnergy Corp,FE.N,"17-Feb-2016, 07:12",16-Feb-2016,31-Dec-2015,"ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934 For the FISCAL YEAR ended December 31, 2015",US,Electric Utilities (NEC),161429865
