,0,1,2,3,4
88,USBL.PK,28-Feb-2022,US,Professional Sports Venues,221017655
89,VLTA.N,31-Dec-2021,US,Power Charging Stations,22830713
90,CHJI.PK,31-Dec-2021,US,Shell Companies,22810436
91,NVVE.OQ,31-Dec-2021,US,Power Charging Stations,22794551
92,OIGBQ.PK,31-Dec-2021,US,Electric Utilities (NEC),22794007
93,—,31-Dec-2021,US,"Corporate Financial Services (NEC)
+1",22789031
94,—,31-Dec-2021,US,Electric Utilities (NEC),22787531
95,CPWPO.PK^C13,31-Dec-2021,US,"Electric Utilities (NEC)
+1",22785096
96,—,31-Dec-2021,US,Electric Utilities (NEC),22785067
97,CENQ.OQ,31-Dec-2021,US,Shell Companies,22782520
98,FLPWP.PK^C13,31-Dec-2021,US,Electric Utilities (NEC),22780546
99,—,31-Dec-2021,US,Electric Utilities (NEC),22776319
100,—,31-Dec-2021,US,Electric Utilities (NEC),22776293
101,—,31-Dec-2021,US,Electric Utilities (NEC),22772841
102,—,31-Dec-2021,US,"Corporate Financial Services (NEC)
+1",22772162
103,—,31-Dec-2021,US,Electric Utilities (NEC),22771738
104,—,31-Dec-2021,US,"—
+2",22771383
105,—,31-Dec-2021,US,Electric Utilities (NEC),22771207
106,TLGA.N,31-Dec-2021,US,Shell Companies,22770219
107,AMPS.N,31-Dec-2021,US,Solar Electric Utilities,22767442
108,—,31-Dec-2021,US,Corporate Financial Services (NEC),22766136
109,EVGO.OQ,31-Dec-2021,US,Power Charging Stations,22764617
110,LFG.N^L22,31-Dec-2021,US,Electric Utilities (NEC),22753096
111,WGEI.PK,31-Dec-2021,US,Electric Utilities (NEC),22751888
112,BLNK.OQ,31-Dec-2021,US,Electrical Components & Equipment (NEC),22745674
113,MNTK.OQ,31-Dec-2021,US,Biomass & Waste to Energy Electric Utilities,22745475
114,—,31-Dec-2021,US,—,22739493
115,PEGY.OQ,31-Dec-2021,US,Electric Utilities (NEC),22736608
116,SMR.N,31-Dec-2021,US,Nuclear Utilities,22730096
117,—,31-Dec-2021,US,Electric Utilities (NEC),22724931
118,CNL.N^D16,31-Dec-2021,US,Electric Utilities (NEC),22719526
119,VIA.OQ,31-Dec-2021,US,Electric Utilities (NEC),22707524
120,PNM.N,31-Dec-2021,US,Electric Utilities (NEC),22698113
121,SPRU.N,31-Dec-2021,US,Solar Electric Utilities,22699318
122,DPL.N^K11,31-Dec-2021,US,Electric Utilities (NEC),22683865
123,IPL.N^C01,31-Dec-2021,US,Electric Utilities (NEC),22683844
124,AES.N,31-Dec-2021,US,Electric Utilities (NEC),22683808
125,—,31-Dec-2021,US,"Electric Utilities (NEC)
+1",22682538
126,—,31-Dec-2021,US,Electric Utilities (NEC),22683184
127,HAWLI.PK,31-Dec-2021,US,Electric Utilities (NEC),22681027
128,—,31-Dec-2021,US,Electric Utilities (NEC),22680267
129,SDO_ph.A^J13,31-Dec-2021,US,"Electric Utilities (NEC)
+2",22679453
130,ORA.N,31-Dec-2021,US,Alternative Electric Utilities,22678801
131,EGRKM.PK^K18,31-Dec-2021,US,"Electric Utilities (NEC)
+1",22675629
132,AZD.N^A00,31-Dec-2021,US,Electric Utilities (NEC),22674655
133,VST.N,31-Dec-2021,US,Electric Utilities (NEC),22674448
134,PSD.N^B09,31-Dec-2021,US,Electric Utilities (NEC),22673617
135,EVRG.OQ,31-Dec-2021,US,Electric Utilities (NEC),22673188
136,OGE.N,31-Dec-2021,US,"Electric Utilities (NEC)
+1",22665235
137,EIX.N,31-Dec-2021,US,Electric Utilities (NEC),22671013
138,NRG.N,31-Dec-2021,US,Electric Utilities (NEC),22672559
139,—,31-Dec-2021,US,"Electric Utilities (NEC)
+2",22669356
140,SCG_p.N^L09,31-Dec-2021,US,Electric Utilities (NEC),22669222
141,D.N,31-Dec-2021,US,Electric Utilities (NEC),22669065
142,WIPSI.PK^K15,31-Dec-2021,US,Electric Utilities (NEC),22666912
143,WELPP.PK,31-Dec-2021,US,Electric Utilities (NEC),22666821
144,WEC.N,31-Dec-2021,US,Electric Utilities (NEC),22666707
145,—,31-Dec-2021,US,Electric Utilities (NEC),22666564
146,OGE.N,31-Dec-2021,US,"Electric Utilities (NEC)
+1",22665234
147,AGR.N,31-Dec-2021,US,Electric Utilities (NEC),22663500
148,XEL.OQ,31-Dec-2021,US,Electric Utilities (NEC),22663100
149,—,31-Dec-2021,US,Electric Utilities (NEC),22663115
150,SPS.N^H97,31-Dec-2021,US,Electric Utilities (NEC),22663120
151,—,31-Dec-2021,US,Electric Utilities (NEC),22663114
152,MGEE.OQ,31-Dec-2021,US,Electric Utilities (NEC),22661225
153,NEP.N,31-Dec-2021,US,Electric Utilities (NEC),22659940
154,CNP.N,31-Dec-2021,US,"Multiline Utilities
+2",22654834
155,LNT.OQ,31-Dec-2021,US,Electric Utilities (NEC),22651869
156,KUTLP.PK^J05,31-Dec-2021,US,"Electric Utilities (NEC)
+1",22651674
157,ELB.N^L03,31-Dec-2021,US,Electric Utilities (NEC),22650799
158,CEDNM.PK^E12,31-Dec-2021,US,"Multiline Utilities
+1",22649159
159,IDA.N,31-Dec-2021,US,Electric Utilities (NEC),22645695
160,CNLPL.PK,31-Dec-2021,US,Electric Utilities (NEC),22645087
161,ALP_pq.N^J22,31-Dec-2021,US,"Electric Utilities (NEC)
+1",22644867
162,POR.N,31-Dec-2021,US,Electric Utilities (NEC),22645230
163,OTTR.OQ,31-Dec-2021,US,Electric Utilities (NEC),22644191
164,FE.N,31-Dec-2021,US,Electric Utilities (NEC),22643856
165,ALE.N,31-Dec-2021,US,Electric Utilities (NEC),22640482
166,TAECM.PK^L04,31-Dec-2021,US,Electric Utilities (NEC),22624486
167,ITC.N^J16,31-Dec-2021,US,Electric Utilities (NEC),22616603
168,—,31-Dec-2021,US,Electric Utilities (NEC),22612010
169,CMS.N,31-Dec-2021,US,"Multiline Utilities
+1",22611763
170,PCG.N,31-Dec-2021,US,Electric Utilities (NEC),22609648
171,REII.PK,30-Nov-2021,US,Electric Utilities (NEC),211532723
172,TVC.N,30-Sep-2021,US,Electric Utilities (NEC),211405122
173,WGEI.PK,31-Dec-2020,US,Electric Utilities (NEC),211330379
174,USBL.PK,28-Feb-2021,US,Professional Sports Venues,211072400
175,USBL.PK,29-Feb-2020,US,Professional Sports Venues,21988390
176,BLNK.OQ,31-Dec-2020,US,Electrical Components & Equipment (NEC),21794827
177,MNTK.OQ,31-Dec-2020,US,Biomass & Waste to Energy Electric Utilities,21794817
