,0,1,2,3,4
90,ASRE.PK,31-Aug-2022,US,Electric Utilities (NEC),221462760
91,TVC.N,30-Sep-2022,US,Electric Utilities (NEC),221388607
92,JEh.V^L22,31-Mar-2022,CA,Electric Utilities (NEC),221141897
93,USBL.PK,28-Feb-2022,US,Professional Sports Venues,221017655
94,VLTA.N,31-Dec-2021,US,Power Charging Stations,22830713
95,CHJI.PK,31-Dec-2021,US,Shell Companies,22810436
96,NVVE.OQ,31-Dec-2021,US,Power Charging Stations,22794551
97,OIGBQ.PK,31-Dec-2021,US,Electric Utilities (NEC),22794007
98,—,31-Dec-2021,US,"Corporate Financial Services (NEC)
+1",22789031
99,—,31-Dec-2021,US,Electric Utilities (NEC),22787531
100,,,,+1,
101,—,31-Dec-2021,US,Electric Utilities (NEC),22785067
102,CENQ.OQ,31-Dec-2021,US,Shell Companies,22782520
103,FLPWP.PK^C13,31-Dec-2021,US,Electric Utilities (NEC),22780546
104,—,31-Dec-2021,US,Electric Utilities (NEC),22776319
105,—,31-Dec-2021,US,Electric Utilities (NEC),22776293
106,—,31-Dec-2021,US,Electric Utilities (NEC),22772841
107,—,31-Dec-2021,US,"Corporate Financial Services (NEC)
+1",22772162
108,—,31-Dec-2021,US,Electric Utilities (NEC),22771738
109,—,31-Dec-2021,US,"—
+2",22771383
110,—,31-Dec-2021,US,Electric Utilities (NEC),22771207
111,TLGA.N,31-Dec-2021,US,Shell Companies,22770219
112,AMPS.N,31-Dec-2021,US,Solar Electric Utilities,22767442
113,—,31-Dec-2021,US,Corporate Financial Services (NEC),22766136
114,EVGO.OQ,31-Dec-2021,US,Power Charging Stations,22764617
115,LFG.N^L22,31-Dec-2021,US,Electric Utilities (NEC),22753096
116,WGEI.PK,31-Dec-2021,US,Electric Utilities (NEC),22751888
117,BLNK.OQ,31-Dec-2021,US,Electrical Components & Equipment (NEC),22745674
118,MNTK.OQ,31-Dec-2021,US,Biomass & Waste to Energy Electric Utilities,22745475
119,—,31-Dec-2021,US,—,22739493
120,,,,,
121,,,,,
122,—,31-Dec-2021,US,Electric Utilities (NEC),22724931
123,CNL.N^D16,31-Dec-2021,US,Electric Utilities (NEC),22719526
124,VIA.OQ,31-Dec-2021,US,Electric Utilities (NEC),22707524
125,PNM.N,31-Dec-2021,US,Electric Utilities (NEC),22698113
126,SPRU.N,31-Dec-2021,US,Solar Electric Utilities,22699318
127,DPL.N^K11,31-Dec-2021,US,Electric Utilities (NEC),22683865
128,IPL.N^C01,31-Dec-2021,US,Electric Utilities (NEC),22683844
129,AES.N,31-Dec-2021,US,Electric Utilities (NEC),22683808
130,—,31-Dec-2021,US,"Electric Utilities (NEC)
+1",22682538
131,—,31-Dec-2021,US,Electric Utilities (NEC),22683184
132,HAWLI.PK,31-Dec-2021,US,Electric Utilities (NEC),22681027
133,—,31-Dec-2021,US,Electric Utilities (NEC),22680267
134,SDO_ph.A^J13,31-Dec-2021,US,"Electric Utilities (NEC)
+2",22679453
135,ANTEM.PK^C11,31-Dec-2021,US,Electric Utilities (NEC),22678908
136,ORA.N,31-Dec-2021,US,Alternative Electric Utilities,22678801
